f,mag,pha
1.40604752412990e+003,-2.00118393964548e+001,-2.25656958594006e+000
1.40928879842186e+003,-2.00122536099766e+001,-2.26177793714537e+000
1.41253754462274e+003,-2.00126697570934e+001,-2.26699833933189e+000
1.41579377995707e+003,-2.00130878469329e+001,-2.27223082058819e+000
1.41905752168908e+003,-2.00135078886669e+001,-2.27747540906971e+000
1.42232878712281e+003,-2.00139298915116e+001,-2.28273213299900e+000
1.42560759360218e+003,-2.00143538647273e+001,-2.28800102066577e+000
1.42889395851109e+003,-2.00147798176194e+001,-2.29328210042719e+000
1.43218789927353e+003,-2.00152077595380e+001,-2.29857540070793e+000
1.43548943335364e+003,-2.00156376998785e+001,-2.30388095000044e+000
1.43879857825583e+003,-2.00160696480816e+001,-2.30919877686506e+000
1.44211535152486e+003,-2.00165036136336e+001,-2.31452890993019e+000
1.44543977074592e+003,-2.00169396060667e+001,-2.31987137789253e+000
1.44877185354475e+003,-2.00173776349592e+001,-2.32522620951714e+000
1.45211161758773e+003,-2.00178177099355e+001,-2.33059343363772e+000
1.45545908058195e+003,-2.00182598406668e+001,-2.33597307915673e+000
1.45881426027534e+003,-2.00187040368710e+001,-2.34136517504558e+000
1.46217717445671e+003,-2.00191503083128e+001,-2.34676975034477e+000
1.46554784095590e+003,-2.00195986648045e+001,-2.35218683416414e+000
1.46892627764385e+003,-2.00200491162056e+001,-2.35761645568297e+000
1.47231250243271e+003,-2.00205016724235e+001,-2.36305864415020e+000
1.47570653327588e+003,-2.00209563434135e+001,-2.36851342888457e+000
1.47910838816819e+003,-2.00214131391791e+001,-2.37398083927491e+000
1.48251808514594e+003,-2.00218720697722e+001,-2.37946090478010e+000
1.48593564228699e+003,-2.00223331452936e+001,-2.38495365492948e+000
1.48936107771090e+003,-2.00227963758928e+001,-2.39045911932288e+000
1.49279440957898e+003,-2.00232617717686e+001,-2.39597732763088e+000
1.49623565609442e+003,-2.00237293431694e+001,-2.40150830959493e+000
1.49968483550236e+003,-2.00241991003930e+001,-2.40705209502756e+000
1.50314196609001e+003,-2.00246710537874e+001,-2.41260871381257e+000
1.50660706618673e+003,-2.00251452137506e+001,-2.41817819590521e+000
1.51008015416413e+003,-2.00256215907312e+001,-2.42376057133237e+000
1.51356124843619e+003,-2.00261001952285e+001,-2.42935587019268e+000
1.51705036745932e+003,-2.00265810377926e+001,-2.43496412265683e+000
1.52054752973248e+003,-2.00270641290251e+001,-2.44058535896765e+000
1.52405275379728e+003,-2.00275494795789e+001,-2.44621960944036e+000
1.52756605823806e+003,-2.00280371001586e+001,-2.45186690446267e+000
1.53108746168201e+003,-2.00285270015211e+001,-2.45752727449507e+000
1.53461698279928e+003,-2.00290191944752e+001,-2.46320075007094e+000
1.53815464030302e+003,-2.00295136898826e+001,-2.46888736179679e+000
1.54170045294954e+003,-2.00300104986575e+001,-2.47458714035239e+000
1.54525443953840e+003,-2.00305096317675e+001,-2.48030011649101e+000
1.54881661891247e+003,-2.00310111002333e+001,-2.48602632103956e+000
1.55238700995807e+003,-2.00315149151292e+001,-2.49176578489882e+000
1.55596563160506e+003,-2.00320210875837e+001,-2.49751853904365e+000
1.55955250282694e+003,-2.00325296287791e+001,-2.50328461452309e+000
1.56314764264094e+003,-2.00330405499525e+001,-2.50906404246061e+000
1.56675107010813e+003,-2.00335538623955e+001,-2.51485685405434e+000
