f,mag,pha
1.31825673855640e+003,-2.27670373039703e+001,9.77723594549158e+001
1.32129563418657e+003,-2.27464620892897e+001,9.77959862574109e+001
1.32434153519466e+003,-2.27258841716713e+001,9.78196514693781e+001
1.32739445772973e+003,-2.27053035395148e+001,9.78433551964333e+001
1.33045441797808e+003,-2.26847201811680e+001,9.78670975442657e+001
1.33352143216332e+003,-2.26641340849270e+001,9.78908786186381e+001
1.33659551654643e+003,-2.26435452390357e+001,9.79146985253864e+001
1.33967668742593e+003,-2.26229536316860e+001,9.79385573704190e+001
1.34276496113786e+003,-2.26023592510169e+001,9.79624552597172e+001
1.34586035405594e+003,-2.25817620851150e+001,9.79863922993341e+001
1.34896288259165e+003,-2.25611621220141e+001,9.80103685953950e+001
1.35207256319427e+003,-2.25405593496946e+001,9.80343842540966e+001
1.35518941235103e+003,-2.25199537560840e+001,9.80584393817069e+001
1.35831344658715e+003,-2.24993453290560e+001,9.80825340845647e+001
1.36144468246594e+003,-2.24787340564310e+001,9.81066684690797e+001
1.36458313658892e+003,-2.24581199259751e+001,9.81308426417317e+001
1.36772882559584e+003,-2.24375029254007e+001,9.81550567090704e+001
1.37088176616484e+003,-2.24168830423656e+001,9.81793107777152e+001
1.37404197501251e+003,-2.23962602644734e+001,9.82036049543547e+001
1.37720946889394e+003,-2.23756345792728e+001,9.82279393457464e+001
1.38038426460288e+003,-2.23550059742577e+001,9.82523140587166e+001
1.38356637897177e+003,-2.23343744368669e+001,9.82767292001594e+001
1.38675582887188e+003,-2.23137399544839e+001,9.83011848770371e+001
1.38995263121334e+003,-2.22931025144366e+001,9.83256811963791e+001
1.39315680294529e+003,-2.22724621039973e+001,9.83502182652822e+001
1.39636836105593e+003,-2.22518187103822e+001,9.83747961909096e+001
1.39958732257261e+003,-2.22311723207516e+001,9.83994150804912e+001
1.40281370456195e+003,-2.22105229222092e+001,9.84240750413225e+001
1.40604752412990e+003,-2.21898705018024e+001,9.84487761807646e+001
1.40928879842186e+003,-2.21692150465215e+001,9.84735186062439e+001
1.41253754462274e+003,-2.21485565433001e+001,9.84983024252512e+001
1.41579377995707e+003,-2.21278949790145e+001,9.85231277453420e+001
1.41905752168908e+003,-2.21072303404836e+001,9.85479946741353e+001
1.42232878712281e+003,-2.20865626144686e+001,9.85729033193138e+001
1.42560759360218e+003,-2.20658917876730e+001,9.85978537886231e+001
1.42889395851109e+003,-2.20452178467421e+001,9.86228461898716e+001
1.43218789927353e+003,-2.20245407782630e+001,9.86478806309296e+001
1.43548943335364e+003,-2.20038605687644e+001,9.86729572197293e+001
1.43879857825583e+003,-2.19831772047162e+001,9.86980760642641e+001
1.44211535152486e+003,-2.19624906725294e+001,9.87232372725882e+001
1.44543977074592e+003,-2.19418009585557e+001,9.87484409528160e+001
1.44877185354475e+003,-2.19211080490877e+001,9.87736872131221e+001
1.45211161758773e+003,-2.19004119303584e+001,9.87989761617402e+001
