f,mag,pha
1.27057410520854e+003,8.76374045863042e+001,-4.88422954840858e+001
1.27350308101666e+003,8.76256786711555e+001,-4.89044230221583e+001
1.27643880881134e+003,8.76139306667811e+001,-4.89665177332919e+001
1.27938130415752e+003,8.76021605924698e+001,-4.90285792830503e+001
1.28233058265601e+003,8.75903684677272e+001,-4.90906073376666e+001
1.28528665994361e+003,8.75785543122744e+001,-4.91526015640502e+001
1.28824955169313e+003,8.75667181460478e+001,-4.92145616297948e+001
1.29121927361353e+003,8.75548599891982e+001,-4.92764872031855e+001
1.29419584144998e+003,8.75429798620897e+001,-4.93383779532062e+001
1.29717927098395e+003,8.75310777852993e+001,-4.94002335495471e+001
1.30016957803328e+003,8.75191537796160e+001,-4.94620536626117e+001
1.30316677845229e+003,8.75072078660401e+001,-4.95238379635245e+001
1.30617088813183e+003,8.74952400657820e+001,-4.95855861241378e+001
1.30918192299940e+003,8.74832504002623e+001,-4.96472978170389e+001
1.31219989901920e+003,8.74712388911097e+001,-4.97089727155575e+001
1.31522483219223e+003,8.74592055601616e+001,-4.97706104937725e+001
1.31825673855640e+003,8.74471504294622e+001,-4.98322108265191e+001
1.32129563418657e+003,8.74350735212620e+001,-4.98937733893958e+001
1.32434153519466e+003,8.74229748580173e+001,-4.99552978587714e+001
1.32739445772973e+003,8.74108544623890e+001,-5.00167839117915e+001
1.33045441797808e+003,8.73987123572416e+001,-5.00782312263860e+001
1.33352143216332e+003,8.73865485656429e+001,-5.01396394812753e+001
1.33659551654643e+003,8.73743631108627e+001,-5.02010083559775e+001
1.33967668742593e+003,8.73621560163721e+001,-5.02623375308145e+001
1.34276496113786e+003,8.73499273058424e+001,-5.03236266869195e+001
1.34586035405594e+003,8.73376770031447e+001,-5.03848755062427e+001
1.34896288259165e+003,8.73254051323485e+001,-5.04460836715585e+001
1.35207256319427e+003,8.73131117177211e+001,-5.05072508664717e+001
1.35518941235103e+003,8.73007967837268e+001,-5.05683767754240e+001
1.35831344658715e+003,8.72884603550255e+001,-5.06294610837005e+001
1.36144468246594e+003,8.72761024564723e+001,-5.06905034774359e+001
1.36458313658892e+003,8.72637231131165e+001,-5.07515036436210e+001
1.36772882559584e+003,8.72513223502004e+001,-5.08124612701087e+001
1.37088176616484e+003,8.72389001931586e+001,-5.08733760456204e+001
1.37404197501251e+003,8.72264566676172e+001,-5.09342476597521e+001
1.37720946889394e+003,8.72139917993925e+001,-5.09950758029805e+001
1.38038426460288e+003,8.72015056144902e+001,-5.10558601666691e+001
1.38356637897177e+003,8.71889981391046e+001,-5.11166004430740e+001
1.38675582887188e+003,8.71764693996176e+001,-5.11772963253500e+001
1.38995263121334e+003,8.71639194225976e+001,-5.12379475075567e+001
1.39315680294529e+003,8.71513482347985e+001,-5.12985536846639e+001
1.39636836105593e+003,8.71387558631591e+001,-5.13591145525576e+001
1.39958732257261e+003,8.71261423348016e+001,-5.14196298080460e+001
1.40281370456195e+003,8.71135076770311e+001,-5.14800991488646e+001
1.40604752412990e+003,8.71008519173343e+001,-5.15405222736825e+001
