Freq.,Vn004/IR10
1.10407861990207e+003,-3.15001351992752e+001,-3.46031433699225e-012
1.10662378397766e+003,-3.15001351992752e+001,-3.05319096441001e-012
1.10917481526240e+003,-3.15001351992752e+001,-3.05318941062429e-012
1.11173172728159e+003,-3.15001351952304e+001,-3.86743150336149e-012
1.11429453359173e+003,-3.15001352033200e+001,-3.25674718664468e-012
1.11686324778056e+003,-3.15001351952304e+001,-3.46030651165219e-012
1.11943788346715e+003,-3.15001351992752e+001,-3.46030491548206e-012
1.12201845430196e+003,-3.15001351992752e+001,-3.66386422130877e-012
1.12460497396692e+003,-3.15001351992752e+001,-3.05317985665576e-012
1.12719745617551e+003,-3.15001351952304e+001,-3.46030005304823e-012
1.12979591467279e+003,-3.15001351952304e+001,-3.86742023943030e-012
1.13240036323555e+003,-3.15001352073648e+001,-3.25673584531426e-012
1.13501081567231e+003,-3.15001352033200e+001,-3.05317326276220e-012
1.13762728582343e+003,-3.15001351952304e+001,-3.46029341151778e-012
1.14024978756117e+003,-3.15001351952304e+001,-3.25673080723758e-012
1.14287833478977e+003,-3.15001351952304e+001,-3.46029002053002e-012
1.14551294144553e+003,-3.15001351992752e+001,-3.46028830880187e-012
1.14815362149688e+003,-3.15001352033200e+001,-3.46028658506458e-012
1.15080038894443e+003,-3.15001352033200e+001,-3.25672393272541e-012
1.15345325782109e+003,-3.15001352033200e+001,-3.66384401289664e-012
1.15611224219210e+003,-3.15001351992752e+001,-3.46028133450143e-012
1.15877735615512e+003,-3.15001351992752e+001,-3.46027956026218e-012
1.16144861384034e+003,-3.15001351952304e+001,-3.86739960138635e-012
1.16412602941049e+003,-3.15001351952304e+001,-3.86739780218081e-012
1.16680961706096e+003,-3.15001351992752e+001,-3.66383507735886e-012
1.16949939101987e+003,-3.15001351952304e+001,-3.86739416583388e-012
1.17219536554813e+003,-3.15001352033200e+001,-3.66383141721889e-012
1.17489755493953e+003,-3.15001351992752e+001,-3.86739048010936e-012
1.17760597352080e+003,-3.15001352073648e+001,-3.25670587555602e-012
1.18032063565173e+003,-3.15001351992752e+001,-3.25670399627415e-012
1.18304155572516e+003,-3.15001351992752e+001,-3.66382393646898e-012
1.18576874816716e+003,-3.15001351952304e+001,-4.07094386151504e-012
1.18850222743701e+003,-3.15001351952304e+001,-4.07094194550655e-012
1.19124200802737e+003,-3.15001352033200e+001,-3.25669636026212e-012
1.19398810446427e+003,-3.15001351952304e+001,-4.07093807307130e-012
1.19674053130724e+003,-3.15001352033200e+001,-3.66381429045208e-012
1.19949930314937e+003,-3.15001352033200e+001,-3.46025140520975e-012
1.20226443461741e+003,-3.15001351911856e+001,-3.66381033081684e-012
1.20503594037179e+003,-3.15001351992752e+001,-3.46024742133314e-012
1.20781383510678e+003,-3.15001351952304e+001,-4.07092815172698e-012
1.21059813355048e+003,-3.15001351992752e+001,-4.07092612738611e-012
1.21338885046497e+003,-3.15001351992752e+001,-3.46024134252345e-012
1.21618600064636e+003,-3.15001351992752e+001,-3.66380020254661e-012
1.21898959892486e+003,-3.15001351952304e+001,-3.66379813163917e-012
1.22179966016487e+003,-3.15001351992752e+001,-3.66379604961926e-012
1.22461619926504e+003,-3.15001351992752e+001,-3.66379395126566e-012
1.22743923115840e+003,-3.15001352033200e+001,-3.46023092499053e-012
1.23026877081238e+003,-3.15001351992752e+001,-3.86735062506271e-012
1.23310483322890e+003,-3.15001352033200e+001,-4.27447031379633e-012
1.23594743344450e+003,-3.15001351992752e+001,-3.46022449469203e-012
1.23879658653036e+003,-3.15001351992752e+001,-3.46022232163264e-012
1.24165230759241e+003,-3.15001352033200e+001,-3.66378104982113e-012
1.24451461177138e+003,-3.15001351952304e+001,-4.07090067213531e-012
1.24738351424294e+003,-3.15001351952304e+001,-3.86733753826379e-012
1.25025903021771e+003,-3.15001352033200e+001,-3.46021347732132e-012
1.25314117494141e+003,-3.15001351992752e+001,-3.86733305486536e-012
1.25602996369487e+003,-3.15001351992752e+001,-4.07089170341069e-012
1.25892541179416e+003,-3.15001352033200e+001,-3.66376759333649e-012
