Freq.,Vv1/IR1
1.11173172728159e+003,9.90205348907211e+001,1.79785954640984e+002
1.11429453359173e+003,9.90205466193518e+001,1.79785455854296e+002
1.11686324778056e+003,9.90205584024566e+001,1.79784955880380e+002
1.11943788346715e+003,9.90205702402901e+001,1.79784454716237e+002
1.12201845430196e+003,9.90205821331081e+001,1.79783952358859e+002
1.12460497396692e+003,9.90205940811675e+001,1.79783448805230e+002
1.12719745617551e+003,9.90206060847267e+001,1.79782944052323e+002
1.12979591467279e+003,9.90206181440450e+001,1.79782438097105e+002
1.13240036323555e+003,9.90206302593830e+001,1.79781930936534e+002
1.13501081567231e+003,9.90206424310026e+001,1.79781422567556e+002
1.13762728582343e+003,9.90206546591671e+001,1.79780912987110e+002
1.14024978756117e+003,9.90206669441406e+001,1.79780402192127e+002
1.14287833478977e+003,9.90206792861890e+001,1.79779890179528e+002
1.14551294144553e+003,9.90206916855790e+001,1.79779376946225e+002
1.14815362149688e+003,9.90207041425788e+001,1.79778862489119e+002
1.15080038894443e+003,9.90207166574577e+001,1.79778346805106e+002
1.15345325782109e+003,9.90207292304866e+001,1.79777829891068e+002
1.15611224219210e+003,9.90207418619374e+001,1.79777311743882e+002
1.15877735615512e+003,9.90207545520833e+001,1.79776792360414e+002
1.16144861384034e+003,9.90207673011989e+001,1.79776271737520e+002
1.16412602941049e+003,9.90207801095600e+001,1.79775749872048e+002
1.16680961706096e+003,9.90207929774438e+001,1.79775226760835e+002
1.16949939101987e+003,9.90208059051288e+001,1.79774702400710e+002
1.17219536554813e+003,9.90208188928949e+001,1.79774176788493e+002
1.17489755493953e+003,9.90208319410230e+001,1.79773649920993e+002
1.17760597352080e+003,9.90208450497958e+001,1.79773121795010e+002
1.18032063565173e+003,9.90208582194968e+001,1.79772592407335e+002
1.18304155572516e+003,9.90208714504115e+001,1.79772061754750e+002
1.18576874816716e+003,9.90208847428261e+001,1.79771529834025e+002
1.18850222743701e+003,9.90208980970286e+001,1.79770996641923e+002
1.19124200802737e+003,9.90209115133082e+001,1.79770462175195e+002
1.19398810446427e+003,9.90209249919555e+001,1.79769926430585e+002
1.19674053130724e+003,9.90209385332625e+001,1.79769389404825e+002
1.19949930314937e+003,9.90209521375225e+001,1.79768851094637e+002
1.20226443461741e+003,9.90209658050302e+001,1.79768311496734e+002
1.20503594037179e+003,9.90209795360819e+001,1.79767770607821e+002
1.20781383510678e+003,9.90209933309751e+001,1.79767228424589e+002
1.21059813355048e+003,9.90210071900087e+001,1.79766684943723e+002
1.21338885046497e+003,9.90210211134832e+001,1.79766140161895e+002
1.21618600064636e+003,9.90210351017003e+001,1.79765594075768e+002
1.21898959892486e+003,9.90210491549634e+001,1.79765046681996e+002
1.22179966016487e+003,9.90210632735771e+001,1.79764497977222e+002
1.22461619926504e+003,9.90210774578475e+001,1.79763947958078e+002
1.22743923115840e+003,9.90210917080822e+001,1.79763396621188e+002
1.23026877081238e+003,9.90211060245904e+001,1.79762843963162e+002
1.23310483322890e+003,9.90211204076825e+001,1.79762289980604e+002
1.23594743344450e+003,9.90211348576705e+001,1.79761734670106e+002
1.23879658653036e+003,9.90211493748679e+001,1.79761178028248e+002
1.24165230759241e+003,9.90211639595898e+001,1.79760620051601e+002
1.24451461177138e+003,9.90211786121525e+001,1.79760060736726e+002
1.24738351424294e+003,9.90211933328740e+001,1.79759500080174e+002
1.25025903021771e+003,9.90212081220739e+001,1.79758938078482e+002
1.25314117494141e+003,9.90212229800731e+001,1.79758374728181e+002
1.25602996369487e+003,9.90212379071943e+001,1.79757810025789e+002
1.25892541179416e+003,9.90212529037614e+001,1.79757243967813e+002
1.26182753459066e+003,9.90212679701001e+001,1.79756676550749e+002
1.26473634747115e+003,9.90212831065376e+001,1.79756107771085e+002
1.26765186585784e+003,9.90212983134026e+001,1.79755537625295e+002
1.27057410520854e+003,9.90213135910253e+001,1.79754966109844e+002
1.27350308101666e+003,9.90213289397377e+001,1.79754393221186e+002
1.27643880881134e+003,9.90213443598732e+001,1.79753818955762e+002
1.27938130415752e+003,9.90213598517669e+001,1.79753243310005e+002
1.28233058265601e+003,9.90213754157553e+001,1.79752666280336e+002
1.28528665994361e+003,9.90213910521767e+001,1.79752087863163e+002
1.28824955169313e+003,9.90214067613710e+001,1.79751508054885e+002
1.29121927361353e+003,9.90214225436796e+001,1.79750926851890e+002
1.29419584144998e+003,9.90214383994456e+001,1.79750344250554e+002
1.29717927098395e+003,9.90214543290138e+001,1.79749760247240e+002
1.30016957803328e+003,9.90214703327305e+001,1.79749174838304e+002
1.30316677845229e+003,9.90214864109437e+001,1.79748588020087e+002
1.30617088813183e+003,9.90215025640032e+001,1.79747999788919e+002
1.30918192299940e+003,9.90215187922603e+001,1.79747410141121e+002
1.31219989901920e+003,9.90215350960680e+001,1.79746819072999e+002
1.31522483219223e+003,9.90215514757811e+001,1.79746226580851e+002
1.31825673855640e+003,9.90215679317560e+001,1.79745632660960e+002
1.32129563418657e+003,9.90215844643507e+001,1.79745037309600e+002
1.32434153519466e+003,9.90216010739252e+001,1.79744440523032e+002
1.32739445772973e+003,9.90216177608409e+001,1.79743842297506e+002
1.33045441797808e+003,9.90216345254611e+001,1.79743242629259e+002
1.33352143216332e+003,9.90216513681508e+001,1.79742641514518e+002
1.33659551654643e+003,9.90216682892768e+001,1.79742038949497e+002
1.33967668742593e+003,9.90216852892076e+001,1.79741434930397e+002
1.34276496113786e+003,9.90217023683134e+001,1.79740829453410e+002
1.34586035405594e+003,9.90217195269663e+001,1.79740222514713e+002
1.34896288259165e+003,9.90217367655400e+001,1.79739614110471e+002
1.35207256319427e+003,9.90217540844102e+001,1.79739004236840e+002
1.35518941235103e+003,9.90217714839543e+001,1.79738392889960e+002
1.35831344658715e+003,9.90217889645514e+001,1.79737780065962e+002
1.36144468246594e+003,9.90218065265827e+001,1.79737165760962e+002
1.36458313658892e+003,9.90218241704308e+001,1.79736549971065e+002
1.36772882559584e+003,9.90218418964805e+001,1.79735932692364e+002
1.37088176616484e+003,9.90218597051183e+001,1.79735313920938e+002
1.37404197501251e+003,9.90218775967326e+001,1.79734693652855e+002
1.37720946889394e+003,9.90218955717135e+001,1.79734071884170e+002
1.38038426460288e+003,9.90219136304531e+001,1.79733448610925e+002
1.38356637897177e+003,9.90219317733455e+001,1.79732823829149e+002
1.38675582887188e+003,9.90219500007865e+001,1.79732197534860e+002
1.38995263121334e+003,9.90219683131737e+001,1.79731569724061e+002
1.39315680294529e+003,9.90219867109069e+001,1.79730940392745e+002
1.39636836105593e+003,9.90220051943877e+001,1.79730309536887e+002
1.39958732257261e+003,9.90220237640195e+001,1.79729677152456e+002
1.40281370456195e+003,9.90220424202077e+001,1.79729043235402e+002
1.40604752412990e+003,9.90220611633598e+001,1.79728407781665e+002
1.40928879842186e+003,9.90220799938851e+001,1.79727770787171e+002
1.41253754462274e+003,9.90220989121947e+001,1.79727132247833e+002
1.41579377995707e+003,9.90221179187021e+001,1.79726492159552e+002
1.41905752168908e+003,9.90221370138224e+001,1.79725850518212e+002
1.42232878712281e+003,9.90221561979730e+001,1.79725207319688e+002
1.42560759360218e+003,9.90221754715729e+001,1.79724562559839e+002
1.42889395851109e+003,9.90221948350436e+001,1.79723916234511e+002
1.43218789927353e+003,9.90222142888081e+001,1.79723268339537e+002
1.43548943335364e+003,9.90222338332920e+001,1.79722618870736e+002
1.43879857825583e+003,9.90222534689224e+001,1.79721967823913e+002
1.44211535152486e+003,9.90222731961289e+001,1.79721315194861e+002
1.44543977074592e+003,9.90222930153428e+001,1.79720660979357e+002
1.44877185354475e+003,9.90223129269978e+001,1.79720005173164e+002
1.45211161758773e+003,9.90223329315294e+001,1.79719347772034e+002
1.45545908058195e+003,9.90223530293754e+001,1.79718688771703e+002
1.45881426027534e+003,9.90223732209756e+001,1.79718028167892e+002
1.46217717445671e+003,9.90223935067719e+001,1.79717365956310e+002
1.46554784095590e+003,9.90224138872084e+001,1.79716702132651e+002
1.46892627764385e+003,9.90224343627312e+001,1.79716036692594e+002
1.47231250243271e+003,9.90224549337888e+001,1.79715369631805e+002
1.47570653327588e+003,9.90224756008317e+001,1.79714700945936e+002
1.47910838816819e+003,9.90224963643124e+001,1.79714030630622e+002
1.48251808514594e+003,9.90225172246859e+001,1.79713358681486e+002
1.48593564228699e+003,9.90225381824093e+001,1.79712685094137e+002
1.48936107771090e+003,9.90225592379417e+001,1.79712009864166e+002
1.49279440957898e+003,9.90225803917445e+001,1.79711332987152e+002
1.49623565609442e+003,9.90226016442816e+001,1.79710654458660e+002
1.49968483550236e+003,9.90226229960188e+001,1.79709974274237e+002
1.50314196609001e+003,9.90226444474242e+001,1.79709292429419e+002
1.50660706618673e+003,9.90226659989683e+001,1.79708608919724e+002
1.51008015416413e+003,9.90226876511238e+001,1.79707923740655e+002
1.51356124843619e+003,9.90227094043656e+001,1.79707236887703e+002
1.51705036745932e+003,9.90227312591710e+001,1.79706548356341e+002
1.52054752973248e+003,9.90227532160195e+001,1.79705858142028e+002
1.52405275379728e+003,9.90227752753930e+001,1.79705166240206e+002
1.52756605823806e+003,9.90227974377758e+001,1.79704472646305e+002
1.53108746168201e+003,9.90228197036543e+001,1.79703777355736e+002
1.53461698279928e+003,9.90228420735174e+001,1.79703080363897e+002
1.53815464030302e+003,9.90228645478564e+001,1.79702381666169e+002
1.54170045294954e+003,9.90228871271649e+001,1.79701681257918e+002
1.54525443953840e+003,9.90229098119389e+001,1.79700979134494e+002
1.54881661891247e+003,9.90229326026768e+001,1.79700275291232e+002
1.55238700995807e+003,9.90229554998794e+001,1.79699569723450e+002
1.55596563160506e+003,9.90229785040500e+001,1.79698862426450e+002
1.55955250282694e+003,9.90230016156941e+001,1.79698153395520e+002
1.56314764264094e+003,9.90230248353200e+001,1.79697442625929e+002
1.56675107010813e+003,9.90230481634382e+001,1.79696730112932e+002
1.57036280433354e+003,9.90230716005616e+001,1.79696015851767e+002
1.57398286446620e+003,9.90230951472059e+001,1.79695299837655e+002
