f,Channel 1 Magnitude (dB),mag,pha
3101.4436732757977,-0.42823207223064641,-49.500077225870314,-11.078035452544356
3150.4056633221958,-0.44367801801530354,-49.765503289977616,-10.987377870424922
3200.1406083927095,-0.44620910757012289,-49.722537633446898,-10.504886335172898
3250.6607110034051,-0.44641060396947418,-50.036541667971129,-10.725555315308924
3301.9783663094709,-0.4461766152187952,-50.000900568020121,-10.847627038534185
3354.1061651464179,-0.45114516080253236,-50.0462404708599,-10.599518612188263
3407.056897119242,-0.46373071447180247,-50.33952801515543,-11.541065715127242
3460.8435537403657,-0.47351539361817568,-50.513678075675926,-11.064863739478454
3515.4793316171208,-0.47774798802553453,-50.786083583187676,-11.527535357128016
3570.9776356895368,-0.48369723273616044,-50.663629311157848,-11.393184675358476
3627.3520825192754,-0.49853074927876795,-50.951131373007556,-11.652064995458929
3684.6165036304542,-0.51071618251025064,-51.192638182176026,-11.535109497280772
3742.7849489032283,-0.50656563431239909,-51.347160792638348,-13.234943108956145
3801.8716900209306,-0.50834545962240729,-51.673545460165322,-11.972454434286018
3861.8912239716633,-0.53020504867961527,-51.548785666259562,-12.886002945011285
3922.8582766051322,-0.5217962697160764,-51.929658747356491,-12.996284916650151
3984.7878062456589,-0.53400211170123968,-52.25026530880843,-13.053878879724522
4047.6950073621988,-0.54268706444405213,-52.31510424421144,-13.2929978030716
4111.5953142963472,-0.53552157693888902,-52.501358728319552,-12.972706691413293
4176.5044050491506,-0.55625062911955747,-52.950112097712719,-13.262989469555009
4242.4382051277289,-0.5637868245168689,-53.089519042342516,-12.407712413397917
4309.4128914525982,-0.55806851916891187,-53.362851565544027,-14.047193090211024
4377.4448963267132,-0.55171990554910355,-53.667724490089334,-12.699251160468577
4446.5509114671386,-0.56014033259424545,-54.011269411709158,-13.461539926396441
4516.7478921003831,-0.55724019840636951,-54.39296586324226,-13.878611037572242
4588.0530611223612,-0.58066223466664202,-54.927794373908242,-14.915716569614474
4660.4839133240775,-0.57626965091408577,-55.315719712061608,-14.942072121737084
4734.0582196839687,-0.5803941563986168,-55.63008075273126,-14.94561605427792
4808.7940317280418,-0.57745433185725603,-56.113088231722259,-15.266814278064153
4884.7096859588119,-0.5977233641505254,-56.965569291366819,-15.879765604093635
4961.823808354211,-0.59161201430834531,-57.185554614491608,-14.926447563132513
5040.1553189374699,-0.60524820061852769,-57.919671353123825,-14.977753228121898
5119.7234364191745,-0.61235018379323281,-58.588411648646087,-15.366729390103739
5200.5476829125728,-0.60793913899770824,-58.611910981595287,-16.539892307681853
5282.6478887233734,-0.60117149431914885,-60.103390430528293,-15.442098191618214
5366.0441972151129,-0.62012107286699147,-60.917495458041586,-16.681293912249544
5450.7570697513593,-0.61963090102977947,-62.332859513235221,-17.841612029319169
5536.8072907159003,-0.62759513164426761,-63.995364031497687,-17.743003234364124
5624.2159726122527,-0.60676900249847521,-64.671936652888618,-13.08280356999474
5713.0045612436052,-0.6374524551860139,-65.217008237439984,-13.93326573835418
5803.1948409745828,-0.64508015294607268,-68.505729679886556,-16.131766530316092
5894.8089400760318,-0.63904446537344994,-72.682190866386009,-6.5143891970707557
5987.8693361542719,-0.64315194520500329,-75.683675681997556,-14.85376706434063
6082.3988616659235,-0.66953371141533813,-83.010494122163792,93.987576974815212
6178.4207095199399,-0.6539374126544375,-75.993670597992732,162.37028794988436
6275.9584387679442,-0.62921382057630049,-71.613107380054387,153.07715599200446
6375.0359803845504,-0.66312855611268118,-68.595878572166029,158.13453440422973
6475.6776431387516,-0.67872197700127479,-65.924608898699631,151.3346828837372
6577.9081195581839,-0.68016529936684622,-63.801660524796318,151.14826765490884
6681.7524919873922,-0.67031901951384809,-62.764368971430869,154.51907445490897
6787.236238741888,-0.65750940911692701,-60.567774837461727,155.19158792807625
6894.3852403591854,-0.67220399589767132,-59.370704456178842,153.99051763232799
7003.2257859486972,-0.67326924956899392,-58.760721093103584,153.75974540054449
7113.7845796417187,-0.66406691959386921,-57.688556004529957,149.3772435652956
7226.0887471434053,-0.71422250102579232,-57.072721337847206,151.07982846136531
